At time 0, Job1 arrives.
At time 10, Job2 arrives.
At time 20, Job1 finishes at CPU.
At time 28, Job3 arrives.
At time 41, Job2 finishes at CPU.
At time 55, Job1 arrives at Disk.
At time 57, Job4 arrives.
At time 73, Job3 finishes at CPU.
At time 78, Job2 arrives at Disk.
At time 81, Job1 finished I/O at Disk 2.
At time 87, Job3 arrives at Disk.
At time 92, Job5 arrives.
At time 96, Job2 finished I/O at Disk 2.
At time 110, Job4 finishes at CPU.
At time 117, Job1 arrives.
At time 121, Job4 arrives at Disk.
At time 122, Job6 arrives.
At time 127, Job5 finishes at CPU.
At time 127, Job5 exits.
At time 129, Job2 arrives.
At time 140, Job7 arrives.
At time 140, Job8 arrives.
At time 144, Job1 finishes at CPU.
At time 150, Job4 finished I/O at Disk 2.
At time 154, Job1 arrives at Disk.
At time 155, Job10 arrives.
At time 161, Job9 arrives.
At time 166, Job6 finishes at CPU.
At time 175, Job1 finished I/O at Disk 2.
At time 177, Job11 arrives.
At time 178, Job4 arrives.
At time 179, Job6 arrives at Disk.
At time 188, Job1 arrives.
At time 191, Job2 finishes at CPU.
At time 193, Job13 arrives.
At time 195, Job12 arrives.
At time 199, Job15 arrives.
At time 201, Job6 finished I/O at Disk 2.
At time 201, Job16 arrives.
At time 202, Job2 arrives at Disk.
At time 204, Job14 arrives.
At time 210, Job7 finishes at CPU.
At time 215, Job20 arrives.
At time 220, Job19 arrives.
At time 223, Job17 arrives.
At time 227, Job21 arrives.
At time 228, Job18 arrives.
At time 229, Job22 arrives.
At time 230, Job2 finished I/O at Disk 2.
At time 235, Job8 finishes at CPU.
At time 239, Job6 arrives.
At time 240, Job25 arrives.
At time 242, Job23 arrives.
At time 243, Job7 arrives at Disk.
At time 247, Job8 arrives at Disk.
At time 250, Job10 finishes at CPU.
At time 252, Job27 arrives.
At time 253, Job29 arrives.
At time 258, Job24 arrives.
At time 260, Job26 arrives.
At time 261, Job2 arrives.
At time 264, Job30 arrives.
At time 264, Job9 finishes at CPU.
At time 266, Job28 arrives.
At time 271, Job31 arrives.
At time 271, Job34 arrives.
At time 273, Job7 finished I/O at Disk 2.
At time 274, Job32 arrives.
At time 278, Job33 arrives.
At time 283, Job35 arrives.
At time 286, Job10 arrives at Disk.
